v_t_xjxb,cyhw,累计上抽井（新井下泵）字段表,,,
XJID,*,*,,,
NY,*,D3,年月,,
KB,KM,C,矿别,,
DB,DM,C,队别,,
QDFS,QK,C,驱动方式,,
JH,JH,C,井号,,
WGRQ,SCRQ,D4,完工日期,,
CSLB,=,'新井下泵',措施类别,,
SGYY,,,施工原因,,采油方式为抽油机的此处就填‘新井下有杆泵’，采油方式是螺杆泵的就填‘新井下螺杆泵’
BJ,BJ,C,泵径,,
CC,CC,N,冲程,"number(5,2)",
CC1,CC1,N,冲次,"number(5,1)",
BS,BS,N,泵深,"number(7,2)",
HLP,SHLLPL,C,后理排,,
HCYE,SHRCYL1,C,后产液,,
HCYOU,SHRCYL,C,后产油
HHS,SHHS,C,后含水
HBX,SHBX,C,后泵效
HLY,HLY,C,后流压
HCMD,HCMD,C,后沉没度
MQLY,MQLY,C,目前流压
MQCMD,MQCMD,C,目前沉没度
MQBJ,MQBJ,C,目前泵径
MQCCHENG,MQCC,C,目前冲程
MQCCI,MQCC1,C,目前冲次
MQLP,MQLLPL,C,目前理排
MQCYE,MQRCYL1,C,目前产液
MQCYOU,MQRCYL,C,目前产油
MQHS,MQHS,C,目前含水
MQBX,MQBX,C,目前泵效
RZYE,CZRCYL1,C,日增液
RZYOU,CZRCYL,C,日增油
RZHS,CZHS,C,日增含水
YZYE,CZYCYL1,C,月增液
YZYOU,CZYCYL,C,月增油
SCTS,SCTS,C,生产天数
MQRZYE,MQZRCYL1,C,目前日增液
MQRZYOU,MQZRCYL,C,目前日增油
MQRHS,MQZHS,C,目前日含水
MQYZYE,MQZYCYL1,C,目前月增液
MQYZYOU,MQZYCYL,C,目前月增油
LJZYE,NLJZYL1,C,累计增液
LJZYOU,NLJZYL,C,累计增油
JX,CYJXH,C,机型
LRYF,JJRQ,C,录入月份
JZRQ,JZRQ,D2,截止日期
YXQ,YXQ,C,有效期
XQKMC,XQKMC,C,小区块代码
CYFS,JB,C,采油方式
YCZYE,CRCYL1,N,预测增液
YCZYOU,CRCYL,N,预测增油
GJ,GJ,C,杆径
GSD,GSD,C,杆深度
FHGJ,GJ1,C,复合杆径
FHGSD,GSD1,C,复合杆深度
GUJ,AJ,C,管径
PM,PM,C,偏磨
SGDW,SGDW,C1,施工单位
DTWZ,DTWZ,C,断脱位置
GLB,GQK,C1,杆类别
JDJG,JDQK,C,鉴定结果
BZ,BZ,C,备注
